transaction_id,timestamp,amount,sender_age,receiver_type,transaction_type,device_id,location,hour,account_age_days,transactions_last_24h,avg_amount_30d,new_receiver,new_device,failed_attempts,distance_from_usual_location_km,fraud_label
TXN0000018,2026-01-01 01:25:00,325.82,41.0,Person,P2M,DEV06402,Hyderabad,1,1438,8,702.53,0,0,1,0.1,0
TXN0000019,2026-01-01 01:30:00,2046.09,31.0,Merchant,P2M,DEV09510,Kolkata,1,1649,8,229.07,0,0,0,9.0,0
TXN0000020,2026-01-01 01:35:00,808.6,34.0,OnlineShopping,BillPayment,DEV08705,Chennai,1,1602,3,417.26,0,0,1,1.5,0
TXN0000021,2026-01-01 01:40:00,706.54,30.0,Person,P2M,DEV08074,Ahmedabad,1,668,6,1181.63,0,0,0,0.8,0
TXN0000022,2026-01-01 01:45:00,430.22,63.0,Person,P2P,DEV05318,Chennai,1,2715,1,2168.38,0,1,0,20.7,0
TXN0000023,2026-01-01 01:50:00,2886.44,18.0,Person,P2P,DEV06538,Kolkata,1,1797,12,1134.06,0,0,0,4.7,0
TXN0000024,2026-01-01 01:55:00,728.3,22.0,Merchant,P2M,DEV01171,Delhi,1,2882,3,681.19,0,0,0,0.7,0
TXN0000025,2026-01-01 02:00:00,553.86,31.0,Person,Recharge,DEV05011,Chennai,2,1513,4,2605.93,0,0,0,6.2,0
TXN0000026,2026-01-01 02:05:00,597.71,38.0,Utility,P2P,DEV01538,Kolkata,2,972,5,383.47,0,0,0,1.2,0
TXN0000027,2026-01-01 02:10:00,1447.43,69.0,Person,P2M,DEV04009,Ahmedabad,2,1177,3,927.07,1,0,0,4.4,0
TXN0000028,2026-01-01 02:15:00,1224.98,62.0,Person,P2P,DEV07691,Hyderabad,2,3425,5,398.48,0,0,0,10.4,1
TXN0000029,2026-01-01 02:20:00,1284.3,28.0,Person,P2M,DEV03326,Delhi,2,858,6,1741.57,0,0,1,7.4,0
TXN0000030,2026-01-01 02:25:00,1307.74,59.0,Person,P2P,DEV04768,Hyderabad,2,3217,7,188.12,0,0,0,6.6,0
TXN0000031,2026-01-01 02:30:00,7236.43,52.0,Person,BillPayment,DEV00027,Hyderabad,2,2176,5,694.18,0,0,2,14.5,0
TXN0000032,2026-01-01 02:35:00,566.13,38.0,Merchant,P2M,DEV04505,Kolkata,2,2336,5,544.82,0,0,0,5.4,0
TXN0000033,2026-01-01 02:40:00,509.28,39.0,OnlineShopping,BillPayment,DEV02282,Bengaluru,2,3456,3,2133.07,1,0,0,13.7,0
TXN0000034,2026-01-01 02:45:00,376.71,39.0,Person,P2P,DEV07930,Kolkata,2,1531,2,1218.12,0,0,0,3.9,0
TXN0000035,2026-01-01 02:50:00,1573.75,60.0,Merchant,P2M,DEV03553,Chennai,2,1885,1,597.79,0,0,0,0.5,0
TXN0000036,2026-01-01 02:55:00,2628.61,38.0,Person,P2M,DEV04692,Mumbai,2,3237,4,667.44,0,0,0,2.1,0
TXN0000037,2026-01-01 03:00:00,758.46,69.0,OnlineShopping,P2M,DEV09724,Hyderabad,3,494,5,1154.09,0,0,1,8.5,0
TXN0000038,2026-01-01 03:05:00,366.9,57.0,Merchant,P2M,DEV07427,Delhi,3,3164,5,527.24,0,1,0,0.6,0
TXN0000039,2026-01-01 03:10:00,372.69,39.0,Person,Recharge,DEV03477,Delhi,3,2932,3,570.06,0,0,0,0.1,0
TXN0000040,2026-01-01 03:15:00,1629.18,33.0,Person,P2P,DEV06660,Pune,3,2524,9,613.22,0,1,1,20.4,0
TXN0000041,2026-01-01 03:20:00,1787.35,39.0,Merchant,P2P,DEV04255,Pune,3,2962,5,442.46,1,0,0,20.2,0
TXN0000042,2026-01-01 03:25:00,1463.21,43.0,Person,BillPayment,DEV00534,Chennai,3,681,3,774.6,0,0,1,17.0,0
TXN0000043,2026-01-01 03:30:00,436.91,68.0,Person,P2P,DEV09762,Pune,3,2915,3,1424.99,0,0,1,5.4,0
TXN0000044,2026-01-01 03:35:00,1072.12,32.0,Merchant,P2P,DEV01532,Ahmedabad,3,2093,4,139.38,0,0,0,1.3,0
TXN0000045,2026-01-01 03:40:00,955.2,24.0,Merchant,P2P,DEV04203,Delhi,3,2197,7,573.89,0,0,0,2.7,0
TXN0000046,2026-01-01 03:45:00,1057.78,60.0,Merchant,P2P,DEV01052,Chennai,3,1686,4,771.18,1,0,1,3.2,0
TXN0000047,2026-01-01 03:50:00,2031.78,39.0,OnlineShopping,P2M,DEV07957,Kolkata,3,100,3,781.88,1,0,0,16.6,0
TXN0000048,2026-01-01 03:55:00,1062.98,68.0,Person,P2P,DEV05986,Delhi,3,3265,6,400.29,0,0,0,0.3,0
TXN0000049,2026-01-01 04:00:00,1675.97,46.0,Merchant,P2P,DEV02923,Mumbai,4,3489,6,484.26,0,0,0,1.3,0
TXN0000050,2026-01-01 04:05:00,909.43,22.0,Person,P2P,DEV06852,Ahmedabad,4,1535,1,485.59,0,0,1,15.0,0
TXN0000051,2026-01-01 04:10:00,1134.96,42.0,Person,P2M,DEV07624,Pune,4,555,5,974.36,0,1,0,2.4,0
TXN0000052,2026-01-01 04:15:00,1598.03,41.0,OnlineShopping,BillPayment,DEV05390,Mumbai,4,2384,5,766.0,0,0,1,4.3,0
TXN0000053,2026-01-01 04:20:00,197.96,61.0,Person,P2P,DEV06032,Mumbai,4,1889,6,496.55,0,0,0,10.8,0
TXN0000054,2026-01-01 04:25:00,617.43,51.0,Merchant,P2P,DEV02360,Kolkata,4,163,5,620.73,0,0,0,1.9,0
TXN0000055,2026-01-01 04:30:00,531.05,30.0,Person,P2P,DEV05739,Mumbai,4,3523,3,1663.27,0,0,1,3.3,0
TXN0000056,2026-01-01 04:35:00,448.7,35.0,Person,BillPayment,DEV03073,Mumbai,4,133,8,356.44,0,1,0,13.8,0
TXN0000057,2026-01-01 04:40:00,645.54,,Person,P2P,DEV08568,Ahmedabad,4,587,3,1750.48,0,0,0,4.0,0
TXN0000058,2026-01-01 04:45:00,3790.21,29.0,Merchant,Recharge,DEV06502,Ahmedabad,4,347,2,572.61,0,0,0,8.1,0
TXN0000059,2026-01-01 04:50:00,357.6,38.0,Merchant,P2P,DEV09991,Delhi,4,598,5,1390.92,0,0,0,9.5,0
TXN0000060,2026-01-01 04:55:00,2238.4,21.0,Utility,BillPayment,DEV03870,Bengaluru,4,1838,2,385.15,0,0,0,21.9,0
TXN0000061,2026-01-01 05:00:00,157.96,30.0,Merchant,BillPayment,DEV02622,Bengaluru,5,1222,4,1471.15,0,0,1,1.0,0
TXN0000062,2026-01-01 05:05:00,608.11,43.0,Person,P2M,DEV03462,Bengaluru,5,347,7,566.84,0,0,0,0.3,0
TXN0000063,2026-01-01 05:10:00,1000.23,64.0,Person,P2P,DEV04027,Delhi,5,614,3,348.58,0,0,1,6.4,0
TXN0000064,2026-01-01 05:15:00,1527.61,35.0,Person,P2M,DEV02894,Bengaluru,5,3557,4,212.44,0,0,1,7.1,0
TXN0000065,2026-01-01 05:20:00,1731.01,48.0,OnlineShopping,Recharge,DEV08566,Hyderabad,5,300,5,326.83,0,0,0,12.1,0
TXN0000066,2026-01-01 05:25:00,1879.17,19.0,Utility,P2P,DEV00972,Ahmedabad,5,3123,8,699.21,0,0,1,8.7,0
TXN0000067,2026-01-01 05:30:00,599.75,36.0,Person,P2P,DEV04393,Kolkata,5,1614,3,794.73,1,0,0,8.4,0
TXN0000068,2026-01-01 05:35:00,535.33,46.0,Person,P2P,DEV01252,Bengaluru,5,117,6,1360.24,0,0,1,0.5,0
TXN0000069,2026-01-01 05:40:00,2004.62,31.0,Merchant,P2M,DEV01602,Bengaluru,5,1643,7,255.48,0,0,0,14.0,0
TXN0000070,2026-01-01 05:45:00,702.0,51.0,Person,Recharge,DEV06686,Ahmedabad,5,1825,6,473.91,0,0,0,9.7,0
TXN0000071,2026-01-01 05:50:00,237.35,26.0,Merchant,BillPayment,DEV08729,Kolkata,5,3370,8,2524.78,0,0,1,34.6,0
TXN0000072,2026-01-01 05:55:00,273.68,67.0,Utility,P2P,DEV09915,Ahmedabad,5,897,7,953.13,0,0,0,2.2,0
TXN0000073,2026-01-01 06:00:00,338.93,24.0,Person,P2P,DEV06571,Delhi,6,2847,6,433.78,0,0,0,7.4,0
TXN0000074,2026-01-01 06:05:00,1397.44,41.0,Utility,P2M,DEV01833,Hyderabad,6,30,7,524.02,0,0,0,0.4,0
TXN0000075,2026-01-01 06:10:00,980.11,46.0,Utility,P2P,DEV01990,Pune,6,3620,5,411.58,0,0,1,3.6,0
TXN0000076,2026-01-01 06:15:00,1695.48,36.0,Merchant,P2M,DEV03353,Hyderabad,6,2085,5,2130.89,0,0,1,21.5,0
TXN0000077,2026-01-01 06:20:00,554.45,40.0,Person,BillPayment,DEV07246,Bengaluru,6,2590,7,282.98,0,0,0,7.9,0
TXN0000078,2026-01-01 06:25:00,996.03,26.0,Merchant,P2M,DEV04097,Mumbai,6,2156,4,883.43,0,0,0,0.7,0
TXN0000079,2026-01-01 06:30:00,1588.95,32.0,Utility,P2P,DEV08688,Kolkata,6,2264,4,1010.42,0,0,0,9.1,0
TXN0000080,2026-01-01 06:35:00,623.84,56.0,Person,BillPayment,DEV04680,Ahmedabad,6,3059,4,946.9,0,0,1,17.0,0
TXN0000081,2026-01-01 06:40:00,1342.13,57.0,Person,Recharge,DEV04446,Chennai,6,3581,4,346.77,0,0,0,6.8,0
TXN0000082,2026-01-01 06:45:00,438.48,18.0,Person,P2M,DEV02222,Bengaluru,6,1669,9,1003.05,0,0,0,2.7,0
TXN0000083,2026-01-01 06:50:00,591.22,34.0,Utility,P2M,DEV04171,Bengaluru,6,3498,8,703.55,0,0,0,19.0,0
TXN0000084,2026-01-01 06:55:00,580.27,66.0,Person,P2P,DEV07594,Kolkata,6,2661,3,723.27,1,0,1,0.9,0
TXN0000085,2026-01-01 07:00:00,257.08,55.0,Merchant,BillPayment,DEV08898,Mumbai,7,1941,3,756.35,0,0,0,5.0,0
TXN0000086,2026-01-01 07:05:00,1383.27,30.0,Person,P2M,DEV07875,Pune,7,1243,8,1864.38,1,0,1,11.1,0
TXN0000087,2026-01-01 07:10:00,531.57,48.0,Person,P2P,DEV08706,Hyderabad,7,2587,7,1084.82,0,0,1,1.3,0
TXN0000088,2026-01-01 07:15:00,860.69,24.0,OnlineShopping,P2P,DEV03633,Mumbai,7,2461,5,322.7,0,0,0,2.3,0
TXN0000089,2026-01-01 07:20:00,1374.69,23.0,Merchant,P2P,DEV01066,Delhi,7,1450,2,323.26,0,0,0,16.5,0
TXN0000090,2026-01-01 07:25:00,1328.45,47.0,Person,P2P,DEV03593,Bengaluru,7,1692,10,781.18,0,0,0,11.9,0
TXN0000091,2026-01-01 07:30:00,1653.45,43.0,Merchant,P2P,DEV04492,Hyderabad,7,3163,2,683.96,0,0,0,18.6,0
TXN0000092,2026-01-01 07:35:00,770.28,49.0,Person,BillPayment,DEV04648,Chennai,7,631,4,620.91,0,0,0,3.8,0
TXN0000093,2026-01-01 07:40:00,556.65,57.0,Utility,P2P,DEV02729,Kolkata,7,3579,1,979.52,0,1,0,2.0,0
TXN0000094,2026-01-01 07:45:00,784.87,50.0,Merchant,P2M,DEV09306,Ahmedabad,7,35,8,128.74,0,0,1,11.8,0
TXN0000095,2026-01-01 07:50:00,157.26,44.0,Merchant,P2P,DEV07460,Delhi,7,2963,7,906.4,1,1,1,9.2,0
TXN0000096,2026-01-01 07:55:00,199.96,29.0,Person,P2M,DEV00454,Kolkata,7,3134,4,440.44,0,0,0,6.1,0
TXN0000097,2026-01-01 08:00:00,226.45,59.0,Merchant,P2P,DEV01607,Kolkata,8,1898,5,595.99,0,0,0,8.3,0
TXN0000098,2026-01-01 08:05:00,313.56,60.0,Person,P2M,DEV03065,Mumbai,8,1757,6,884.29,0,0,0,4.1,0
TXN0000099,2026-01-01 08:10:00,1267.76,43.0,Merchant,P2P,DEV00919,Hyderabad,8,178,7,325.05,0,0,0,6.0,0
TXN0000100,2026-01-01 08:15:00,343.7,21.0,Person,P2P,DEV08282,Mumbai,8,876,4,406.37,0,0,1,18.3,0
TXN0000101,2026-01-01 08:20:00,582.35,58.0,Person,P2P,DEV06987,Ahmedabad,8,606,4,199.17,0,0,1,5.5,0
TXN0000102,2026-01-01 08:25:00,3116.5,69.0,Person,P2P,DEV04522,Bengaluru,8,788,3,722.71,0,0,1,6.3,0
TXN0000103,2026-01-01 08:30:00,595.24,25.0,Person,P2P,DEV09704,Hyderabad,8,2539,3,1213.77,0,0,0,7.2,0
TXN0000104,2026-01-01 08:35:00,1777.12,42.0,Utility,Recharge,DEV07813,Kolkata,8,3398,1,788.22,0,0,1,9.7,0
TXN0000105,2026-01-01 08:40:00,334.16,30.0,Person,P2M,DEV02863,Bengaluru,8,281,4,582.55,0,0,1,14.0,0
TXN0000106,2026-01-01 08:45:00,692.15,30.0,OnlineShopping,P2P,DEV04667,Ahmedabad,8,1640,4,951.3,0,0,0,8.2,0
TXN0000107,2026-01-01 08:50:00,328.72,31.0,Merchant,BillPayment,DEV00387,Ahmedabad,8,1230,4,2513.35,0,0,1,1.9,0
TXN0000108,2026-01-01 08:55:00,605.59,49.0,Merchant,P2P,DEV03480,Kolkata,8,2070,1,2504.94,0,0,0,0.1,0
TXN0000109,2026-01-01 09:00:00,1969.52,38.0,Person,P2M,DEV01202,Ahmedabad,9,557,3,198.45,1,0,1,1.9,0
TXN0000110,2026-01-01 09:05:00,151.1,38.0,Utility,P2P,DEV03763,Hyderabad,9,1714,7,427.32,0,0,0,0.1,0
TXN0000111,2026-01-01 09:10:00,1312.46,53.0,Utility,P2P,DEV00585,Mumbai,9,3104,5,612.41,0,0,0,17.2,0
TXN0000112,2026-01-01 09:15:00,1078.12,22.0,Merchant,P2M,DEV09190,Delhi,9,2685,3,607.21,0,0,1,0.1,0
TXN0000113,2026-01-01 09:20:00,469.23,31.0,Person,P2M,DEV05303,Bengaluru,9,2733,7,606.47,0,0,1,6.3,0
TXN0000114,2026-01-01 09:25:00,200.17,30.0,Merchant,P2M,DEV00362,Chennai,9,2775,4,369.26,0,0,1,15.1,0
TXN0000115,2026-01-01 09:30:00,913.58,34.0,Person,P2M,DEV05464,Kolkata,9,1504,8,847.13,0,0,2,13.1,0
TXN0000116,2026-01-01 09:35:00,500.57,54.0,Merchant,P2M,DEV03916,Ahmedabad,9,419,6,1569.11,0,0,0,1.0,0
TXN0000117,2026-01-01 09:40:00,1072.68,31.0,Person,P2P,DEV01038,Delhi,9,605,2,454.22,1,0,0,5.6,0
TXN0000118,2026-01-01 09:45:00,868.78,59.0,Person,P2P,DEV08275,Kolkata,9,1382,5,925.17,0,0,0,0.9,0
TXN0000119,2026-01-01 09:50:00,4217.57,29.0,Merchant,P2M,DEV02446,Bengaluru,9,1427,7,463.82,1,0,1,3.3,0
TXN0000120,2026-01-01 09:55:00,669.06,42.0,Person,BillPayment,DEV07849,Bengaluru,9,422,6,317.71,0,0,1,3.1,0
TXN0000121,2026-01-01 10:00:00,305.44,69.0,Merchant,BillPayment,DEV04443,Bengaluru,10,3313,6,583.23,0,0,0,4.1,0
TXN0000122,2026-01-01 10:05:00,1016.9,46.0,Person,P2M,DEV05884,Delhi,10,1052,7,291.7,0,0,0,2.7,0
TXN0000123,2026-01-01 10:10:00,1059.16,18.0,Person,P2P,DEV09864,Delhi,10,3193,4,3831.69,0,0,1,2.7,0
TXN0000124,2026-01-01 10:15:00,3309.07,41.0,Person,BillPayment,DEV01411,Pune,10,2237,4,1038.81,0,0,0,19.3,0
TXN0000125,2026-01-01 10:20:00,1959.31,51.0,Merchant,BillPayment,DEV08696,Delhi,10,764,3,509.0,0,0,0,0.2,0
TXN0000126,2026-01-01 10:25:00,1214.52,26.0,Merchant,P2M,DEV01336,Kolkata,10,900,4,2121.47,0,0,0,11.1,0
TXN0000127,2026-01-01 10:30:00,3672.17,32.0,Merchant,P2P,DEV04526,Bengaluru,10,878,5,854.3,0,0,0,3.6,0
TXN0000128,2026-01-01 10:35:00,258.91,40.0,Merchant,P2P,DEV07263,Chennai,10,1134,4,701.03,0,0,0,10.3,0
TXN0000129,2026-01-01 10:40:00,448.31,27.0,Merchant,BillPayment,DEV01119,Delhi,10,565,6,3120.34,0,0,0,6.8,0
TXN0000130,2026-01-01 10:45:00,336.52,40.0,Person,P2P,DEV00565,Mumbai,10,276,6,387.71,0,0,0,10.2,0
TXN0000131,2026-01-01 10:50:00,575.61,27.0,Merchant,Recharge,DEV06208,Bengaluru,10,2301,3,336.92,0,0,0,4.5,0
TXN0000132,2026-01-01 10:55:00,214.55,56.0,Person,P2P,DEV04543,Chennai,10,1046,2,653.04,0,0,0,10.0,0
TXN0000133,2026-01-01 11:00:00,1604.21,28.0,Person,P2M,DEV09715,Bengaluru,11,3345,1,473.92,1,0,0,4.6,0
TXN0000134,2026-01-01 11:05:00,680.63,21.0,Person,P2P,DEV05496,Hyderabad,11,1833,4,2805.74,0,0,1,6.5,0
TXN0000135,2026-01-01 11:10:00,195.28,68.0,Merchant,P2M,DEV08430,Kolkata,11,3508,4,1135.82,0,0,0,0.8,0
TXN0000136,2026-01-01 11:15:00,307.86,31.0,Person,P2P,DEV02992,Mumbai,11,1136,5,1474.0,0,0,0,24.0,0
TXN0000137,2026-01-01 11:20:00,1162.99,27.0,Merchant,Recharge,DEV03309,Delhi,11,2983,3,1433.76,1,0,0,16.3,0
TXN0000138,2026-01-01 11:25:00,1965.23,47.0,Utility,P2P,DEV03602,Hyderabad,11,3439,5,273.11,0,0,0,7.4,0
TXN0000139,2026-01-01 11:30:00,6260.2,56.0,Person,P2M,DEV05921,Pune,11,2531,6,323.68,0,0,0,18.4,0
TXN0000140,2026-01-01 11:35:00,15663.66,29.0,Person,P2P,DEV02490,Ahmedabad,11,2318,5,2100.03,0,0,0,4.7,0
TXN0000141,2026-01-01 11:40:00,1286.46,56.0,Person,P2M,DEV00994,Kolkata,11,2299,2,1852.11,0,0,0,8.7,0
TXN0000142,2026-01-01 11:45:00,315.99,41.0,Person,P2M,DEV06869,Mumbai,11,1182,5,704.48,0,0,0,3.0,0
TXN0000143,2026-01-01 11:50:00,100.81,25.0,Merchant,P2P,DEV00884,Hyderabad,11,1173,3,510.93,0,0,0,7.3,0
TXN0000144,2026-01-01 11:55:00,1110.92,43.0,OnlineShopping,P2M,DEV01906,Delhi,11,2356,5,668.71,0,0,0,12.1,0
TXN0000145,2026-01-01 12:00:00,377.02,67.0,OnlineShopping,P2P,DEV08640,Delhi,12,2047,3,470.1,0,0,0,1.7,0
TXN0000146,2026-01-01 12:05:00,561.09,26.0,Merchant,P2P,DEV04858,Delhi,12,2468,9,551.58,0,1,0,7.3,0
TXN0000147,2026-01-01 12:10:00,460.88,37.0,Merchant,P2M,DEV04079,Kolkata,12,1547,3,699.69,0,0,0,3.4,0
TXN0000148,2026-01-01 12:15:00,738.37,34.0,Merchant,P2M,DEV05349,Pune,12,2471,3,314.29,0,0,2,1.6,0
TXN0000149,2026-01-01 12:20:00,2468.13,64.0,Merchant,Recharge,DEV04006,Chennai,12,2501,4,627.84,0,0,1,12.1,0
TXN0000150,2026-01-01 12:25:00,994.54,48.0,Person,Recharge,DEV09260,Pune,12,1978,7,1564.32,0,0,1,13.8,0
TXN0000151,2026-01-01 12:30:00,725.31,54.0,Merchant,BillPayment,DEV04425,Hyderabad,12,3384,5,267.61,0,0,0,22.4,0
TXN0000152,2026-01-01 12:35:00,301.75,58.0,OnlineShopping,P2P,DEV02237,Ahmedabad,12,1907,9,1097.6,0,0,0,0.7,0
TXN0000153,2026-01-01 12:40:00,159.26,47.0,Person,Recharge,DEV01110,Ahmedabad,12,1408,5,840.38,0,0,0,7.8,0
TXN0000154,2026-01-01 12:45:00,522.66,42.0,Merchant,Recharge,DEV01498,Hyderabad,12,3371,6,1018.62,0,0,0,5.3,0
TXN0000155,2026-01-01 12:50:00,805.49,43.0,Person,BillPayment,DEV04487,Chennai,12,3372,5,2418.69,0,0,0,1.8,0
TXN0000156,2026-01-01 12:55:00,4979.91,18.0,OnlineShopping,BillPayment,DEV06079,Delhi,12,3444,4,1695.19,0,0,1,8.8,0
TXN0000157,2026-01-01 13:00:00,968.27,66.0,Utility,P2M,DEV06205,Kolkata,13,892,4,837.86,0,1,1,13.0,0
TXN0000158,2026-01-01 13:05:00,2271.0,52.0,Person,BillPayment,DEV00764,Kolkata,13,652,8,1407.36,0,0,1,6.1,0
TXN0000159,2026-01-01 13:10:00,515.91,60.0,Merchant,Recharge,DEV00502,Delhi,13,1532,6,1890.86,0,0,0,28.4,0
TXN0000160,2026-01-01 13:15:00,259.9,36.0,Utility,P2P,DEV04791,Delhi,13,207,3,793.54,0,0,0,1.7,0
TXN0000161,2026-01-01 13:20:00,323.8,69.0,Person,P2P,DEV03039,Chennai,13,2637,4,394.85,0,0,0,4.9,0
TXN0000162,2026-01-01 13:25:00,411.58,41.0,Person,P2M,DEV06945,Mumbai,13,3625,4,498.06,0,0,0,0.7,0
TXN0000163,2026-01-01 13:30:00,7141.7,25.0,Person,P2M,DEV09571,Kolkata,13,3499,5,1465.73,0,0,0,1.4,0
TXN0000164,2026-01-01 13:35:00,373.85,65.0,Person,P2M,DEV03428,Kolkata,13,2873,7,597.18,0,1,1,0.9,0
TXN0000165,2026-01-01 13:40:00,1965.94,51.0,Merchant,P2M,DEV04692,Delhi,13,12,6,1345.85,0,0,0,4.0,0
TXN0000166,2026-01-01 13:45:00,344.57,39.0,Person,P2P,DEV00343,Bengaluru,13,2059,4,510.03,1,0,0,9.2,0
TXN0000167,2026-01-01 13:50:00,2157.72,35.0,Person,P2P,DEV08439,Ahmedabad,13,1329,4,1917.32,0,0,0,20.1,0
TXN0000168,2026-01-01 13:55:00,1249.11,65.0,Person,BillPayment,DEV06116,Bengaluru,13,1863,3,740.99,0,0,1,0.8,0
TXN0000169,2026-01-01 14:00:00,726.76,44.0,Person,P2P,DEV05381,Hyderabad,14,1162,4,561.59,1,0,0,21.0,0
TXN0000170,2026-01-01 14:05:00,816.05,32.0,Person,BillPayment,DEV02810,Delhi,14,1637,4,1151.07,0,0,0,8.9,0
TXN0000171,2026-01-01 14:10:00,441.62,39.0,Merchant,P2P,DEV03756,Mumbai,14,1025,5,750.63,1,0,0,7.5,0
TXN0000172,2026-01-01 14:15:00,1327.84,54.0,Merchant,P2M,DEV00441,Delhi,14,381,4,323.3,1,0,0,1.6,0
TXN0000173,2026-01-01 14:20:00,539.29,64.0,Person,Recharge,DEV03110,Mumbai,14,2017,2,811.74,0,0,1,6.9,0
TXN0000174,2026-01-01 14:25:00,249.54,40.0,Person,P2M,DEV02831,Chennai,14,2891,5,716.98,1,0,1,2.6,0
TXN0000175,2026-01-01 14:30:00,236.82,47.0,Person,P2M,DEV06345,Kolkata,14,457,2,878.66,0,0,0,2.0,0
TXN0000176,2026-01-01 14:35:00,1010.12,66.0,Person,Recharge,DEV07172,Bengaluru,14,850,9,3890.38,1,0,0,7.2,0
TXN0000177,2026-01-01 14:40:00,4122.96,41.0,Person,BillPayment,DEV00134,Bengaluru,14,2725,4,409.77,0,0,0,8.6,0
TXN0000178,2026-01-01 14:45:00,997.48,,Person,P2P,DEV02422,Ahmedabad,14,1136,5,670.08,0,0,0,8.2,0
TXN0000179,2026-01-01 14:50:00,754.91,58.0,Person,P2P,DEV03403,Pune,14,3528,7,242.2,0,0,1,5.1,0
TXN0000180,2026-01-01 14:55:00,1131.23,31.0,Merchant,P2M,DEV02607,Hyderabad,14,1816,9,1352.05,0,0,1,12.8,0
TXN0000181,2026-01-01 15:00:00,3137.68,25.0,Person,P2M,DEV03696,Kolkata,15,871,6,479.63,0,0,0,3.5,0
TXN0000182,2026-01-01 15:05:00,1058.51,41.0,Person,P2P,DEV05198,Chennai,15,3463,7,420.91,0,0,0,2.8,0
TXN0000183,2026-01-01 15:10:00,563.58,48.0,Person,P2P,DEV07776,Kolkata,15,2061,4,287.95,0,0,0,9.4,0
TXN0000184,2026-01-01 15:15:00,2569.65,65.0,Merchant,BillPayment,DEV05968,Bengaluru,15,3070,4,694.57,0,1,0,8.7,0
TXN0000185,2026-01-01 15:20:00,1305.04,36.0,Merchant,BillPayment,DEV04099,Pune,15,2745,7,944.52,0,0,0,28.5,0
TXN0000186,2026-01-01 15:25:00,3948.11,52.0,Person,P2P,DEV07153,Mumbai,15,3102,6,336.99,0,0,0,7.5,0
TXN0000187,2026-01-01 15:30:00,1020.93,41.0,Person,P2M,DEV08849,Kolkata,15,150,8,586.66,0,1,1,6.6,0
TXN0000188,2026-01-01 15:35:00,249.83,62.0,Merchant,P2P,DEV08241,Pune,15,1511,5,204.85,0,1,0,0.2,0
TXN0000189,2026-01-01 15:40:00,216.39,34.0,Merchant,Recharge,DEV05369,Delhi,15,908,0,1194.67,0,0,0,0.6,0
TXN0000190,2026-01-01 15:45:00,4430.04,34.0,Person,P2M,DEV09056,Ahmedabad,15,2890,6,149.65,0,1,0,1.6,0
TXN0000191,2026-01-01 15:50:00,4764.28,42.0,Merchant,P2P,DEV02600,Pune,15,2011,10,1041.37,0,1,0,12.6,0
